UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1561.0,M16420,M,298.2,308.4,1510,39.9,134,0,0,0,0,0,0
1562.0,L48741,L,298.2,308.4,1388,53.8,137,0,0,0,0,0,0
1563.0,L48742,L,298.2,308.3,2216,16.8,139,0,0,0,0,0,0
1564.0,L48743,L,298.2,308.3,1402,51.0,141,0,0,0,0,0,0
1565.0,M16424,M,298.0,308.2,2090,19.0,143,0,0,0,0,0,0
1566.0,L48745,L,298.0,308.2,1459,42.1,146,0,0,0,0,0,0
1567.0,M16426,M,298.0,308.1,1403,44.8,148,0,0,0,0,0,0
1568.0,L48747,L,298.1,308.2,1521,39.3,151,0,0,0,0,0,0
1569.0,L48748,L,298.2,308.2,1407,47.1,153,0,0,0,0,0,0
1570.0,M16429,M,298.1,308.2,1654,35.3,155,0,0,0,0,0,0
1571.0,L48750,L,298.2,308.4,1452,43.5,158,0,0,0,0,0,0
1572.0,L48751,L,298.3,308.4,1528,37.3,160,0,0,0,0,0,0
1573.0,L48752,L,298.2,308.3,1230,59.6,162,0,0,0,0,0,0
1574.0,L48753,L,298.2,308.2,1466,42.4,164,0,0,0,0,0,0
1575.0,L48754,L,298.2,308.2,1478,50.1,166,0,0,0,0,0,0
1576.0,L48755,L,298.2,308.3,2057,18.0,168,0,0,0,0,0,0
1577.0,L48756,L,298.3,308.4,1490,41.7,170,0,0,0,0,0,0
1578.0,L48757,L,298.3,308.4,1484,43.4,172,0,0,0,0,0,0
1579.0,L48758,L,298.3,308.4,1593,37.0,174,0,0,0,0,0,0
1580.0,L48759,L,298.3,308.3,1444,43.8,176,0,0,0,0,0,0
1581.0,M16440,M,298.3,308.4,1444,47.5,178,0,0,0,0,0,0
1582.0,M16441,M,298.2,308.3,1560,33.0,181,0,0,0,0,0,0
1583.0,H30996,H,298.1,308.3,1530,42.0,184,0,0,0,0,0,0
1584.0,L48763,L,298.2,308.4,1310,61.0,189,1,0,0,0,1,0
1585.0,M16444,M,298.2,308.3,1639,33.3,191,0,0,0,0,0,0
1586.0,L48765,L,298.2,308.3,1400,48.7,194,0,0,0,0,0,0
1587.0,M16446,M,298.3,308.4,1486,44.2,196,0,0,0,0,0,0
1588.0,M16447,M,298.2,308.3,1448,43.3,199,0,0,0,0,0,0
1589.0,L48768,L,298.2,308.3,1688,32.0,202,0,0,0,0,0,0
1590.0,M16449,M,298.1,308.3,1453,41.5,204,0,0,0,0,0,0
1591.0,L48770,L,298.2,308.4,1497,37.7,207,0,0,0,0,0,0
1592.0,L48771,L,298.2,308.4,1355,49.4,209,0,0,0,0,0,0
1593.0,L48772,L,298.1,308.4,1592,38.2,211,0,0,0,0,0,0
1594.0,L48773,L,298.0,308.3,1544,34.7,213,0,0,0,0,0,0
1595.0,M16454,M,298.0,308.2,1373,51.2,215,0,0,0,0,0,0
1596.0,L48775,L,298.0,308.2,1365,52.9,218,1,0,0,0,1,0
1597.0,L48776,L,298.0,308.1,1877,24.3,0,0,0,0,0,0,0
1598.0,L48777,L,297.9,308.1,1531,40.8,2,0,0,0,0,0,0
1599.0,L48778,L,297.9,308.0,1501,36.7,4,0,0,0,0,0,0
1600.0,L48779,L,297.9,308.0,1490,46.2,6,0,0,0,0,0,0
1601.0,M16460,M,297.8,307.8,1543,43.7,8,0,0,0,0,0,0
1602.0,L48781,L,297.8,307.8,1597,38.2,11,0,0,0,0,0,0
1603.0,H31016,H,297.8,307.9,1600,33.5,13,0,0,0,0,0,0
1604.0,M16463,M,297.8,307.8,1622,32.1,18,0,0,0,0,0,0
1605.0,L48784,L,297.8,307.8,1452,39.8,21,0,0,0,0,0,0
1606.0,L48785,L,297.8,307.8,1396,42.5,23,0,0,0,0,0,0
1607.0,L48786,L,297.8,307.7,1505,39.7,25,0,0,0,0,0,0
1608.0,L48787,L,297.8,307.8,1412,48.3,27,0,0,0,0,0,0
1609.0,L48788,L,297.8,307.7,1393,38.0,29,0,0,0,0,0,0
1610.0,L48789,L,297.7,307.7,1581,34.9,31,0,0,0,0,0,0
1611.0,L48790,L,297.8,307.8,1573,37.9,33,0,0,0,0,0,0
1612.0,M16471,M,297.8,307.9,1726,27.3,35,0,0,0,0,0,0
1613.0,M16472,M,297.9,307.9,1540,39.8,38,0,0,0,0,0,0
1614.0,L48793,L,297.9,308.0,1296,62.9,41,0,0,0,0,0,0
1615.0,M16474,M,297.8,307.9,1802,25.8,43,0,0,0,0,0,0
1616.0,L48795,L,297.8,307.9,1447,48.6,46,0,0,0,0,0,0
1617.0,H31030,H,297.8,307.8,1662,30.7,48,0,0,0,0,0,0
1618.0,L48797,L,297.8,307.8,1563,34.3,53,0,0,0,0,0,0
1619.0,L48798,L,297.9,307.8,1286,59.5,55,0,0,0,0,0,0
1620.0,L48799,L,297.9,307.7,1590,34.6,57,0,0,0,0,0,0
1621.0,L48800,L,297.9,307.7,1492,43.7,59,0,0,0,0,0,0
1622.0,L48801,L,297.7,307.6,1844,21.9,61,0,0,0,0,0,0
1623.0,H31036,H,297.7,307.6,1538,38.3,63,0,0,0,0,0,0
1624.0,L48803,L,297.7,307.6,1921,22.9,68,0,0,0,0,0,0
1625.0,M16484,M,297.8,307.8,1310,57.9,70,0,0,0,0,0,0
1626.0,L48805,L,297.9,307.8,1365,46.9,73,0,0,0,0,0,0
1627.0,M16486,M,297.9,307.8,1303,59.3,75,0,0,0,0,0,0
1628.0,L48807,L,297.9,307.8,1499,37.5,78,0,0,0,0,0,0
1629.0,L48808,L,297.9,307.8,1451,38.2,80,0,0,0,0,0,0
1630.0,M16489,M,297.9,307.9,1336,54.4,82,0,0,0,0,0,0
1631.0,L48810,L,297.9,307.9,1412,44.5,85,0,0,0,0,0,0
1632.0,L48811,L,298.0,308.0,1433,39.2,87,0,0,0,0,0,0
1633.0,L48812,L,297.9,307.9,1426,43.6,89,0,0,0,0,0,0
1634.0,L48813,L,297.9,307.9,1476,45.2,91,0,0,0,0,0,0
1635.0,H31048,H,297.9,307.9,1406,58.5,93,0,0,0,0,0,0
1636.0,L48815,L,297.8,307.8,1383,56.5,98,0,0,0,0,0,0
1637.0,L48816,L,297.9,307.8,1505,37.3,100,0,0,0,0,0,0
1638.0,L48817,L,297.9,307.8,1665,33.9,102,0,0,0,0,0,0
1639.0,L48818,L,297.9,307.8,1397,45.0,104,0,0,0,0,0,0
1640.0,M16499,M,297.9,307.8,1450,43.5,106,0,0,0,0,0,0
1641.0,L48820,L,298.0,307.8,1567,36.4,109,0,0,0,0,0,0
1642.0,M16501,M,298.0,308.0,1555,37.0,111,0,0,0,0,0,0
1643.0,H31056,H,298.0,307.8,1588,35.4,114,0,0,0,0,0,0
1644.0,L48823,L,298.0,307.8,1453,37.7,119,0,0,0,0,0,0
1645.0,L48824,L,298.0,307.8,1622,33.3,121,0,0,0,0,0,0
1646.0,L48825,L,297.9,307.8,1538,38.5,123,0,0,0,0,0,0
1647.0,M16506,M,297.9,307.7,1527,42.8,125,0,0,0,0,0,0
1648.0,L48827,L,297.8,307.8,1761,28.9,128,0,0,0,0,0,0
1649.0,L48828,L,297.9,307.8,1373,50.2,130,0,0,0,0,0,0
1650.0,H31063,H,298.0,307.9,1482,37.8,132,0,0,0,0,0,0
1651.0,M16510,M,298.0,307.9,1417,51.0,137,0,0,0,0,0,0
1652.0,L48831,L,298.0,307.8,1414,51.7,140,0,0,0,0,0,0
1653.0,H31066,H,297.9,307.8,1635,34.0,142,0,0,0,0,0,0
1654.0,L48833,L,298.0,307.8,1386,57.3,147,0,0,0,0,0,0
1655.0,L48834,L,298.2,308.1,1379,62.3,149,0,0,0,0,0,0
1656.0,M16515,M,298.2,308.0,1577,35.9,151,0,0,0,0,0,0
1657.0,L48836,L,298.2,308.1,1532,42.5,154,0,0,0,0,0,0
1658.0,M16517,M,298.1,308.0,1374,48.8,156,0,0,0,0,0,0
1659.0,H31072,H,298.1,308.0,1570,35.3,159,0,0,0,0,0,0
1660.0,L48839,L,298.1,308.0,1697,31.0,164,0,0,0,0,0,0
1661.0,L48840,L,298.2,308.0,1499,44.1,166,0,0,0,0,0,0
1662.0,M16521,M,298.2,308.0,1411,47.2,168,0,0,0,0,0,0
1663.0,H31076,H,298.2,307.9,1462,45.5,171,0,0,0,0,0,0
1664.0,M16523,M,298.1,307.9,1759,28.6,176,0,0,0,0,0,0
1665.0,L48844,L,298.2,308.0,1535,38.0,179,0,0,0,0,0,0
1666.0,H31079,H,298.2,307.9,1491,39.7,181,0,0,0,0,0,0
1667.0,L48846,L,298.2,307.9,1551,36.0,186,0,0,0,0,0,0
1668.0,L48847,L,298.2,307.9,1769,27.2,188,0,0,0,0,0,0
1669.0,L48848,L,298.2,307.9,1551,34.1,190,0,0,0,0,0,0
1670.0,L48849,L,298.2,307.9,1544,31.4,192,0,0,0,0,0,0
1671.0,L48850,L,298.2,307.8,1528,31.1,194,0,0,0,0,0,0
1672.0,L48851,L,298.1,307.9,1614,35.8,196,0,0,0,0,0,0
1673.0,L48852,L,298.1,307.8,1432,49.8,198,0,0,0,0,0,0
1674.0,M16533,M,298.1,307.8,1384,43.7,200,0,0,0,0,0,0
1675.0,L48854,L,298.1,307.8,1540,37.8,203,0,0,0,0,0,0
1676.0,L48855,L,298.0,307.7,1407,43.9,205,0,0,0,0,0,0
1677.0,H31090,H,297.9,307.6,1418,43.0,207,0,0,0,0,0,0
1678.0,M16537,M,297.9,307.5,1647,30.8,212,0,0,0,0,0,0
1679.0,L48858,L,298.0,307.5,1644,32.8,215,0,0,0,0,0,0
1680.0,L48859,L,298.0,307.5,1792,27.9,217,0,0,0,0,0,0
1681.0,M16540,M,297.9,307.4,1610,34.6,219,0,0,0,0,0,0
1682.0,M16541,M,297.8,307.3,1804,26.0,222,0,0,0,0,0,0
1683.0,H31096,H,297.9,307.4,1604,36.1,225,1,1,0,0,0,0
1684.0,M16543,M,297.9,307.4,1403,52.8,0,0,0,0,0,0,0
1685.0,L48864,L,297.8,307.3,1438,44.5,3,0,0,0,0,0,0
1686.0,L48865,L,297.9,307.3,1824,26.3,5,0,0,0,0,0,0
1687.0,H31100,H,297.9,307.3,1663,28.7,7,0,0,0,0,0,0
1688.0,L48867,L,297.9,307.3,1502,36.7,12,0,0,0,0,0,0
1689.0,L48868,L,297.9,307.4,1606,35.5,14,0,0,0,0,0,0
1690.0,L48869,L,297.9,307.5,1561,37.7,16,0,0,0,0,0,0
1691.0,M16550,M,297.9,307.4,1435,42.9,18,0,0,0,0,0,0
1692.0,L48871,L,297.9,307.5,1602,38.3,21,0,0,0,0,0,0
1693.0,M16552,M,298.1,307.6,1764,27.7,23,0,0,0,0,0,0
1694.0,H31107,H,298.0,307.5,1683,27.8,26,0,0,0,0,0,0
1695.0,L48874,L,298.0,307.5,1618,35.2,31,0,0,0,0,0,0
1696.0,L48875,L,298.0,307.6,1509,41.6,33,0,0,0,0,0,0
1697.0,L48876,L,297.9,307.6,1550,39.0,35,0,0,0,0,0,0
1698.0,M16557,M,297.9,307.6,1519,44.0,37,0,0,0,0,0,0
1699.0,L48878,L,297.9,307.6,1481,38.0,40,0,0,0,0,0,0
1700.0,L48879,L,298.1,307.7,1289,48.3,42,0,0,0,0,0,0
1701.0,M16560,M,298.0,307.6,1844,23.8,44,0,0,0,0,0,0
1702.0,L48881,L,298.0,307.7,1479,42.5,47,0,0,0,0,0,0
1703.0,L48882,L,298.0,307.7,1430,47.3,49,0,0,0,0,0,0
1704.0,M16563,M,298.1,307.8,1636,36.7,51,0,0,0,0,0,0
1705.0,M16564,M,298.1,307.8,1503,44.7,54,0,0,0,0,0,0
1706.0,M16565,M,298.1,307.8,1608,32.6,57,0,0,0,0,0,0
1707.0,L48886,L,298.2,307.8,1521,42.9,60,0,0,0,0,0,0
1708.0,L48887,L,298.2,307.8,1439,41.6,62,0,0,0,0,0,0
1709.0,L48888,L,298.2,307.8,1627,31.5,64,0,0,0,0,0,0
1710.0,L48889,L,298.2,307.8,1749,26.1,66,0,0,0,0,0,0
1711.0,L48890,L,298.2,307.8,1530,35.9,68,0,0,0,0,0,0
1712.0,L48891,L,298.2,307.8,1355,51.3,70,0,0,0,0,0,0
1713.0,L48892,L,298.3,307.9,1551,33.8,72,0,0,0,0,0,0
1714.0,L48893,L,298.2,307.8,1515,46.7,74,0,0,0,0,0,0
1715.0,L48894,L,298.2,307.8,1388,48.6,76,0,0,0,0,0,0
1716.0,L48895,L,298.2,307.8,1585,34.6,78,0,0,0,0,0,0
1717.0,L48896,L,298.1,307.7,1523,37.7,80,0,0,0,0,0,0
1718.0,L48897,L,298.2,307.6,1369,54.5,82,0,0,0,0,0,0
1719.0,M16578,M,298.2,307.7,1681,31.0,84,0,0,0,0,0,0
1720.0,L48899,L,298.2,307.7,1503,38.3,87,0,0,0,0,0,0
1721.0,L48900,L,298.2,307.7,1459,44.5,89,0,0,0,0,0,0
1722.0,L48901,L,298.2,307.7,1688,32.4,91,0,0,0,0,0,0
1723.0,M16582,M,298.2,307.7,1952,21.6,93,0,0,0,0,0,0
1724.0,L48903,L,298.2,307.8,2029,19.9,96,0,0,0,0,0,0
1725.0,M16584,M,298.3,307.8,1457,52.5,98,0,0,0,0,0,0
1726.0,M16585,M,298.3,307.8,1392,50.4,101,0,0,0,0,0,0
1727.0,L48906,L,298.3,307.8,1906,22.1,104,0,0,0,0,0,0
1728.0,M16587,M,298.3,307.7,1602,33.4,106,0,0,0,0,0,0
1729.0,L48908,L,298.3,307.7,1465,49.4,109,0,0,0,0,0,0
1730.0,M16589,M,298.3,307.7,1439,43.8,111,0,0,0,0,0,0
1731.0,M16590,M,298.3,307.8,1330,55.4,114,0,0,0,0,0,0
1732.0,M16591,M,298.3,307.9,1485,42.0,117,0,0,0,0,0,0
1733.0,H31146,H,298.4,307.9,1700,28.2,120,0,0,0,0,0,0
1734.0,L48913,L,298.4,308.0,1515,42.8,125,0,0,0,0,0,0
1735.0,M16594,M,298.5,308.1,1501,39.2,127,0,0,0,0,0,0
1736.0,L48915,L,298.4,308.0,1380,47.6,130,0,0,0,0,0,0
1737.0,L48916,L,298.4,307.9,1544,35.9,132,0,0,0,0,0,0
1738.0,L48917,L,298.4,307.9,1743,27.3,134,0,0,0,0,0,0
1739.0,H31152,H,298.4,307.9,1948,21.4,136,0,0,0,0,0,0
1740.0,H31153,H,298.5,307.9,1260,54.2,141,0,0,0,0,0,0
1741.0,M16600,M,298.5,307.9,1640,33.1,146,0,0,0,0,0,0
1742.0,M16601,M,298.5,308.0,1363,49.2,149,0,0,0,0,0,0
1743.0,L48922,L,298.5,308.0,1379,49.6,152,0,0,0,0,0,0
1744.0,M16603,M,298.5,308.0,1713,25.8,154,0,0,0,0,0,0
1745.0,M16604,M,298.5,308.0,1461,51.9,157,0,0,0,0,0,0
1746.0,L48925,L,298.5,308.0,1624,29.8,160,0,0,0,0,0,0
1747.0,L48926,L,298.4,308.0,1526,41.1,162,0,0,0,0,0,0
1748.0,L48927,L,298.4,307.9,2381,14.2,164,0,0,0,0,0,0
1749.0,H31162,H,298.4,307.7,1626,31.1,166,0,0,0,0,0,1
1750.0,L48929,L,298.3,307.7,1576,33.8,171,0,0,0,0,0,0
1751.0,M16610,M,298.4,307.8,1617,31.6,173,0,0,0,0,0,0
1752.0,L48931,L,298.3,307.6,1942,20.6,176,0,0,0,0,0,0
1753.0,L48932,L,298.2,307.6,1492,37.2,178,0,0,0,0,0,0
1754.0,L48933,L,298.2,307.5,1470,51.3,180,0,0,0,0,0,0
1755.0,M16614,M,298.0,307.4,1463,46.5,182,0,0,0,0,0,0
1756.0,L48935,L,298.0,307.3,1424,46.5,185,0,0,0,0,0,0
1757.0,M16616,M,298.1,307.4,1363,60.1,187,0,0,0,0,0,0
1758.0,M16617,M,298.1,307.4,1335,56.2,190,0,0,0,0,0,0
1759.0,L48938,L,298.1,307.4,1608,33.9,193,0,0,0,0,0,0
1760.0,H31173,H,298.0,307.4,1606,35.2,195,0,0,0,0,0,0
1761.0,L48940,L,298.1,307.5,1684,33.1,200,0,0,0,0,0,0
1762.0,L48941,L,298.1,307.6,1950,20.3,202,0,0,0,0,0,0
1763.0,H31176,H,298.2,307.6,1460,48.6,204,0,0,0,0,0,0
1764.0,L48943,L,298.2,307.6,1511,31.0,209,1,1,0,0,0,0
1765.0,H31178,H,298.2,307.6,1318,55.7,0,0,0,0,0,0,0
1766.0,L48945,L,298.2,307.6,1368,51.8,5,0,0,0,0,0,0
1767.0,M16626,M,298.3,307.7,1717,27.1,7,0,0,0,0,0,0
1768.0,M16627,M,298.3,307.7,1520,41.4,10,0,0,0,0,0,0
1769.0,M16628,M,298.3,307.8,1485,42.0,13,0,0,0,0,0,0
1770.0,L48949,L,298.4,307.9,1981,23.2,16,0,0,0,0,0,0
1771.0,H31184,H,298.4,307.9,1605,31.0,18,0,0,0,0,0,0
1772.0,L48951,L,298.4,307.9,1446,45.3,23,0,0,0,0,0,0
1773.0,L48952,L,298.4,308.0,1508,47.9,25,0,0,0,0,0,0
1774.0,L48953,L,298.5,308.0,1384,59.5,27,0,0,0,0,0,0
1775.0,M16634,M,298.5,308.0,1519,37.3,29,0,0,0,0,0,0
1776.0,L48955,L,298.5,308.0,1404,48.1,32,0,0,0,0,0,0
1777.0,L48956,L,298.5,308.1,1564,31.1,34,0,0,0,0,0,0
1778.0,H31191,H,298.6,308.2,1555,36.8,36,0,0,0,0,0,0
1779.0,L48958,L,298.6,308.2,1325,54.0,41,0,0,0,0,0,0
1780.0,M16639,M,298.6,308.2,1488,44.0,43,0,0,0,0,0,0
1781.0,L48960,L,298.5,308.2,1595,32.3,46,0,0,0,0,0,0
1782.0,L48961,L,298.5,308.1,1662,28.6,48,0,0,0,0,0,0
1783.0,L48962,L,298.4,308.0,1571,37.4,50,0,0,0,0,0,0
1784.0,H31197,H,298.3,308.0,1553,41.0,52,0,0,0,0,0,0
1785.0,L48964,L,298.3,308.0,2886,3.8,57,1,0,0,1,0,0
1786.0,L48965,L,298.2,308.0,1538,38.2,59,0,0,0,0,0,0
1787.0,L48966,L,298.4,308.2,1618,33.0,61,0,0,0,0,0,0
1788.0,L48967,L,298.4,308.2,1364,45.9,63,0,0,0,0,0,0
1789.0,L48968,L,298.3,308.0,1442,47.3,65,0,0,0,0,0,0
1790.0,L48969,L,298.2,307.9,1313,67.3,67,1,0,0,1,0,0
1791.0,L48970,L,298.2,307.9,1847,23.6,69,0,0,0,0,0,0
1792.0,L48971,L,298.1,307.8,1524,40.8,71,0,0,0,0,0,0
1793.0,M16652,M,298.1,307.7,1445,48.0,73,0,0,0,0,0,0
1794.0,L48973,L,298.1,307.8,1761,28.2,76,0,0,0,0,0,0
1795.0,M16654,M,298.1,307.8,1514,43.5,78,0,0,0,0,0,0
1796.0,M16655,M,298.1,307.7,1498,38.3,81,0,0,0,0,0,0
1797.0,H31210,H,298.1,307.6,1542,37.1,84,0,0,0,0,0,0
1798.0,M16657,M,298.0,307.6,1508,41.8,89,0,0,0,0,0,0
1799.0,M16658,M,298.0,307.5,1431,52.9,92,0,0,0,0,0,0
1800.0,M16659,M,298.0,307.5,1427,45.1,95,0,0,0,0,0,0
1801.0,M16660,M,298.0,307.5,1524,36.3,98,0,0,0,0,0,0
1802.0,M16661,M,298.0,307.5,1427,43.6,101,0,0,0,0,0,0
1803.0,H31216,H,298.1,307.6,1496,44.1,104,0,0,0,0,0,0
1804.0,L48983,L,298.1,307.7,1388,40.3,109,0,0,0,0,0,0
1805.0,L48984,L,298.1,307.7,1495,48.1,111,0,0,0,0,0,0
1806.0,H31219,H,298.1,307.7,1376,56.2,113,0,0,0,0,0,0
1807.0,H31220,H,298.0,307.6,1593,32.2,118,0,0,0,0,0,0
1808.0,L48987,L,298.0,307.6,1654,28.9,123,0,0,0,0,0,0
1809.0,L48988,L,298.1,307.7,2567,12.8,125,1,0,0,1,0,0
1810.0,L48989,L,298.1,307.7,1767,27.0,127,0,0,0,0,0,0
1811.0,L48990,L,298.1,307.6,1364,53.8,129,0,0,0,0,0,0
1812.0,M16671,M,298.1,307.8,1569,31.2,131,0,0,0,0,0,0
1813.0,L48992,L,298.2,307.8,1476,36.8,134,0,0,0,0,0,0
1814.0,L48993,L,298.1,307.7,1479,45.0,136,0,0,0,0,0,0
1815.0,L48994,L,298.1,307.7,1650,34.1,138,0,0,0,0,0,0
1816.0,M16675,M,298.1,307.6,1565,36.3,140,0,0,0,0,0,0
1817.0,L48996,L,298.1,307.6,1460,46.5,143,0,0,0,0,0,0
1818.0,L48997,L,298.1,307.7,1664,27.6,145,0,0,0,0,0,0
1819.0,M16678,M,298.1,307.7,1435,40.9,147,0,0,0,0,0,0
1820.0,M16679,M,298.1,307.6,2066,19.2,150,0,0,0,0,0,0
1821.0,L49000,L,298.1,307.5,1493,43.7,153,0,0,0,0,0,0
1822.0,L49001,L,298.1,307.6,1354,43.3,155,0,0,0,0,0,0
1823.0,L49002,L,298.1,307.6,1488,39.4,157,0,0,0,0,0,0
1824.0,L49003,L,298.1,307.7,1414,48.7,159,0,0,0,0,0,0
1825.0,L49004,L,298.1,307.5,1391,57.4,161,0,0,0,0,0,0
1826.0,M16685,M,298.0,307.5,1784,27.8,163,0,0,0,0,0,0
1827.0,H31240,H,297.8,307.3,1516,40.1,166,0,0,0,0,0,0
1828.0,M16687,M,297.9,307.3,1420,47.8,171,0,0,0,0,0,0
1829.0,L49008,L,297.8,307.2,1351,56.3,174,0,0,0,0,0,0
1830.0,L49009,L,297.8,307.2,1880,23.0,176,0,0,0,0,0,0
1831.0,L49010,L,297.8,307.3,1859,24.0,178,0,0,0,0,0,0
1832.0,M16691,M,297.8,307.3,1315,54.0,180,0,0,0,0,0,0
1833.0,M16692,M,297.8,307.4,1330,51.7,183,0,0,0,0,0,0
1834.0,L49013,L,297.8,307.3,1327,61.0,186,1,0,0,0,1,0
1835.0,L49014,L,297.8,307.2,1498,38.1,188,0,0,0,0,0,0
1836.0,H31249,H,297.8,307.3,1555,35.8,190,0,0,0,0,0,0
1837.0,L49016,L,297.7,307.2,1518,35.8,195,0,0,0,0,0,0
1838.0,L49017,L,297.7,307.2,1392,43.0,197,0,0,0,0,0,0
1839.0,M16698,M,297.8,307.2,1456,39.6,199,0,0,0,0,0,0
1840.0,L49019,L,297.7,307.1,1715,30.2,0,0,0,0,0,0,0
1841.0,M16700,M,297.7,307.2,1405,43.7,2,0,0,0,0,0,0
1842.0,L49021,L,297.7,307.2,1668,37.8,5,0,0,0,0,0,0
1843.0,H31256,H,297.7,307.1,1855,22.5,7,0,0,0,0,0,0
1844.0,L49023,L,297.6,307.1,1496,39.2,12,0,0,0,0,0,0
1845.0,M16704,M,297.6,307.1,1471,44.9,14,0,0,0,0,0,0
1846.0,L49025,L,297.7,307.2,1444,40.0,17,0,0,0,0,0,0
1847.0,H31260,H,297.7,307.3,1514,38.6,19,0,0,0,0,0,0
1848.0,L49027,L,297.8,307.3,1412,50.7,24,0,0,0,0,0,0
1849.0,H31262,H,297.7,307.2,1429,44.1,26,0,0,0,0,0,0
1850.0,L49029,L,297.7,307.2,1668,32.7,31,0,0,0,0,0,0
1851.0,M16710,M,297.7,307.2,1372,52.8,33,0,0,0,0,0,0
1852.0,M16711,M,297.7,307.3,1365,49.2,36,0,0,0,0,0,0
1853.0,M16712,M,297.6,307.1,1526,39.1,39,0,0,0,0,0,0
1854.0,L49033,L,297.6,307.2,1486,40.6,42,0,0,0,0,0,0
1855.0,M16714,M,297.6,307.2,1470,42.6,44,0,0,0,0,0,0
1856.0,H31269,H,297.7,307.3,1249,62.8,47,0,0,0,0,0,0
1857.0,M16716,M,297.8,307.4,1752,26.1,52,0,0,0,0,0,0
1858.0,L49037,L,297.7,307.4,1643,36.5,55,0,0,0,0,0,0
1859.0,M16718,M,297.8,307.4,1488,36.1,57,0,0,0,0,0,0
1860.0,L49039,L,297.8,307.4,1355,45.8,60,0,0,0,0,0,0
1861.0,L49040,L,297.8,307.6,1607,30.3,62,0,0,0,0,0,0
1862.0,M16721,M,297.9,307.6,1609,30.3,64,0,0,0,0,0,0
1863.0,L49042,L,297.9,307.7,1517,44.4,67,0,0,0,0,0,0
1864.0,M16723,M,297.9,307.7,1517,39.5,69,0,0,0,0,0,0
1865.0,L49044,L,297.9,307.7,1546,37.6,72,0,0,0,0,0,0
1866.0,L49045,L,297.9,307.7,1567,34.7,74,0,0,0,0,0,0
1867.0,M16726,M,298.1,307.9,1662,28.9,76,0,0,0,0,0,0
1868.0,L49047,L,298.1,307.9,1502,41.8,79,0,0,0,0,0,0
1869.0,L49048,L,298.3,308.0,1361,56.9,81,0,0,0,0,0,0
1870.0,M16729,M,298.3,308.1,1630,32.7,83,0,0,0,0,0,0
1871.0,L49050,L,298.3,308.0,1486,42.3,86,0,0,0,0,0,0
1872.0,L49051,L,298.3,308.1,1840,21.5,88,0,0,0,0,0,0
1873.0,L49052,L,298.3,308.1,1326,58.4,90,0,0,0,0,0,0
1874.0,L49053,L,298.4,308.1,1367,57.8,92,0,0,0,0,0,0
1875.0,L49054,L,298.4,308.1,1598,32.7,94,0,0,0,0,0,0
1876.0,L49055,L,298.3,308.0,1363,50.1,96,0,0,0,0,0,0
1877.0,L49056,L,298.3,308.0,1242,62.0,98,0,0,0,0,0,0
1878.0,M16737,M,298.2,307.8,1566,33.8,100,0,0,0,0,0,0
1879.0,M16738,M,298.1,307.7,1424,47.7,103,0,0,0,0,0,0
1880.0,M16739,M,298.2,307.7,1608,33.8,106,0,0,0,0,0,0
1881.0,L49060,L,298.1,307.7,1705,29.1,109,0,0,0,0,0,0
1882.0,L49061,L,298.0,307.6,1548,45.8,111,0,0,0,0,0,0
1883.0,M16742,M,298.0,307.6,1581,43.4,113,0,0,0,0,0,0
1884.0,M16743,M,298.0,307.6,1472,46.7,116,0,0,0,0,0,0
1885.0,M16744,M,298.0,307.6,1792,26.0,119,0,0,0,0,0,0
1886.0,L49065,L,298.0,307.6,1683,32.8,122,0,0,0,0,0,0
1887.0,L49066,L,297.9,307.6,1503,40.7,124,0,0,0,0,0,0
1888.0,M16747,M,297.9,307.5,1642,32.4,126,0,0,0,0,0,0
1889.0,M16748,M,297.8,307.4,1902,24.3,129,0,0,0,0,0,0
1890.0,H31303,H,297.7,307.4,1432,40.2,132,0,0,0,0,0,0
1891.0,L49070,L,297.8,307.4,1512,40.8,137,0,0,0,0,0,0
1892.0,L49071,L,297.7,307.4,1764,29.0,139,0,0,0,0,0,0
1893.0,M16752,M,297.8,307.4,1438,43.6,141,0,0,0,0,0,0
1894.0,L49073,L,297.8,307.5,1631,29.9,144,0,0,0,0,0,0
1895.0,H31308,H,297.9,307.5,1880,23.3,146,0,0,0,0,0,0
1896.0,L49075,L,297.9,307.6,1344,54.3,151,0,0,0,0,0,0
1897.0,L49076,L,297.9,307.5,1574,35.8,153,0,0,0,0,0,0
1898.0,L49077,L,297.8,307.4,1418,41.2,155,0,0,0,0,0,0
1899.0,L49078,L,297.8,307.5,1372,54.1,157,0,0,0,0,0,0
1900.0,L49079,L,297.8,307.5,1388,40.0,159,0,0,0,0,0,0
1901.0,H31314,H,297.9,307.6,1493,36.0,161,0,0,0,0,0,0
1902.0,M16761,M,297.9,307.6,1505,40.1,166,0,0,0,0,0,0
1903.0,L49082,L,298.0,307.6,1694,29.1,169,0,0,0,0,0,0
1904.0,L49083,L,297.9,307.6,1968,20.4,171,0,0,0,0,0,0
1905.0,M16764,M,298.0,307.6,1569,35.6,173,0,0,0,0,0,0
1906.0,L49085,L,297.9,307.6,1687,29.1,176,0,0,0,0,0,0
1907.0,L49086,L,297.9,307.6,1430,52.4,178,0,0,0,0,0,0
